# Hyperreal Slow Performer History

Generated by `cargo bench --bench adversarial_library`. Timings are best-of-five wall-clock probes for deterministic adversarial cases, intended to identify edges for promotion into focused Criterion rows.

Latest run sampled 20000 deterministic cases. The table below intentionally merges the latest run with previous crate-local history by `family + operation + input`, updates each case to its worst observed time, and keeps only the 1000 worst cases. This report is a worst-ever edge finder, not a current-run leaderboard.

## Worst Performers

| Rank | Worst Time | Family | Operation | Input |
| ---: | ---: | --- | --- | --- |
| 1 | 26.618 us | `computable` | `generated_atan_p96` | `generated[10704] 1 371/412` |
| 2 | 25.278 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[14947] 3 11/222` |
| 3 | 25.018 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[11497] 1 137/564` |
| 4 | 25.008 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[9862] -1 221/492` |
| 5 | 24.599 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[7447] 1 53/76` |
| 6 | 24.548 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[7642] -1 25/36` |
| 7 | 24.178 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[14377] -1 189/764` |
| 8 | 24.118 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[11317] -8 21/53` |
| 9 | 23.968 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[13702] -2 65/94` |
| 10 | 23.888 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[5812] -1 51/460` |
| 11 | 23.869 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[11512] -8 3/25` |
| 12 | 23.828 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[11122] -8 13/27` |
| 13 | 23.729 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[16642] 3 13/22` |
| 14 | 23.658 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[17197] -7 29/43` |
| 15 | 23.619 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[15472] -3 13/50` |
| 16 | 23.549 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[13837] -1 55/76` |
| 17 | 23.388 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[6592] 1 109/348` |
| 18 | 23.349 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[1837] -1 107/724` |
| 19 | 23.298 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[14977] 6 22/141` |
| 20 | 23.279 us | `computable` | `generated_atan_p96` | `generated[15474] -1 13/19` |
| 21 | 23.179 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[18352] -1 133/500` |
| 22 | 23.108 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[17752] -3 11/18` |
| 23 | 23.078 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[2212] 2 137/210` |
| 24 | 23.038 us | `computable` | `generated_ln_abs_plus_one_p96` | `generated[10927] -8 57/109` |
